y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11
15,76.536552,12.5416,2.0771,221.5513,10,139.800003,85.857498,47.096699,1010.956116,28.665501,2
15,75.900604,7.9399,3.0989,222.065201,10.4,138.399994,87.915199,46.145401,1009.044922,28.6091,3
18,75.860214,7.4337,1.5645,222.836105,11,137.199997,90.080101,47.602299,1010.371582,28.605499,3
18,75.590706,10.3336,1.0435,222.797104,11.3,135.800003,87.712898,40.327999,1010.856018,28.5814,0
18,74.890808,8.9959,1.0436,222.287598,11.5,134.699997,93.2061,40.362,1011.369324,28.518299,0
18,73.798965,7.13,-0.4989,222.152603,11.7,133.5,91.384399,34.762901,1009.710571,28.418301,2
20,72.882561,14.6075,0,222.704803,11.6,132.699997,86.196602,35.758202,1010.764587,28.332899,2
20,72.542549,10.7879,-0.4993,222.790894,11.6,131.800003,86.011803,31.0637,1010.552979,28.3008,0
20,72.160751,17.510599,-0.5093,221.8396,11.5,130.600006,83.222801,33.322601,1010.985718,28.264601,0
20,71.656754,15.7011,-0.5093,222.221207,11.4,129.800003,85.225098,35.3549,1010.461792,28.2164,3
23,70.870903,18.736099,-1.0184,220.752304,11.3,128.699997,87.386101,28.750401,1010.808594,28.140301,5
25,69.335876,18.7411,1.0335,221.3069,11.1,127.599998,87.4533,27.0583,1010.703979,27.9884,5
28,67.506561,11.0486,3.0989,221.229599,11.3,126.800003,88.552101,36.4758,1011.214111,27.8015,5
30,64.85743,15.6656,2.5803,221.678497,11.9,125.800003,88.335197,44.1049,1010.769897,27.5184,5
33,58.371689,15.5085,1.5511,221.739807,12.4,125,86.001297,59.341301,1011.739014,9999,3
33,52.534519,14.7749,3.6062,222.082397,12.7,124.300003,83.533096,61.0117,1013.04541,9999,-5
28,47.281063,13.9541,3.0972,220.755203,13.4,123.599998,88.448898,51.754002,1012.835388,9999,-10
23,42.552956,15.9247,4.1191,221.666,14,122.699997,85.277603,49.749699,1013.170776,9999,-8
20,60.458652,11.0015,5.1477,220.908707,14.8,122.400002,87.849197,57.317699,1013.793274,27.0117,-5
18,60.50708,17.0352,3.6048,221.018204,15.8,122.5,85.2089,44.992401,1015.506714,27.017599,-2
18,58.76125,16.4667,1.5445,220.204193,16.5,122.800003,85.192299,49.698399,1015.874695,26.802299,-3
15,57.410496,18.481899,0,220.324295,16.799999,123,83.699402,42.282001,1015.476624,26.6294,-5
13,71.009087,6.762,3.0889,221.964798,10.2,157.600006,81.228699,51.5653,1008.84613,28.1537,2
15,69.886688,7.7886,3.6048,221.720001,10.8,157.600006,81.4496,43.932999,1011.129822,28.0434,2
15,68.771057,12.4799,2.5763,222.585205,11.5,157.5,80.165802,43.504002,1009.554993,27.9314,0
15,67.619843,9.971,1.0336,221.464905,12,157.300003,80.159302,39.706902,1011.546875,27.813299,3
18,67.190338,14.8427,0,222.413193,12.2,157.100006,83.831299,42.1749,1008.776672,27.768499,8
23,67.132622,7.9303,0,222.225204,12.2,156.800003,79.305397,42.197899,1011.590393,27.762501,5
23,67.094208,3.8439,0.5194,221.829605,12.2,156.600006,76.633797,39.2477,1009.574829,27.7584,2
25,66.560272,2.5051,0.5194,221.736496,12.3,156.399994,78.530899,32.784401,1012.085022,27.702101,2
25,66.237938,7.0369,1.5478,222.591507,12.4,156.100006,76.609596,30.716101,1009.391174,27.6679,5
30,65.638931,9.0586,1.5444,222.289597,12.7,155.699997,82.562897,36.734901,1011.764587,27.6035,10
35,65.250626,9.3645,3.0906,221.522705,13,155.199997,74.352997,27.302299,1008.899414,27.561399,5
35,64.147385,10.0071,3.0906,221.035599,13.6,154.699997,73.659302,21.524099,1009.997986,27.439899,3
38,63.216843,9.0222,2.5763,221.435501,14.2,154.199997,72.366302,17.2551,1007.139893,27.3351,3
38,62.39397,6.8671,2.0621,222.053406,14.7,154,79.571503,16.3986,1009.381592,27.2407,10
48,61.75322,11.014,1.5444,222.694702,15.1,153.699997,69.348198,14.9521,1007.601074,27.166,4
42,60.801311,12.4929,1.0335,221.400696,15.4,153.300003,68.113899,17.6308,1009.842773,27.052999,-10
38,60.4552,13.5584,2.5743,221.214203,15.6,152.800003,66.720398,14.1838,1008.22113,27.011299,-12
30,59.415462,10.9439,2.0621,221.368698,16.1,152.5,68.365097,11.822,1010.486328,26.884001,-15
23,58.521366,13.9678,1.5411,222.301407,16.5,152.100006,64.867302,9.7395,1009.634216,26.771999,-15
18,78.441124,8.2034,3.0972,223.469498,7.6,167,87.941101,46.172298,1006.687683,28.8309,3
18,76.933876,9.3919,1.0437,223.168701,8.2,166,91.904701,51.1409,1004.567505,28.700399,0
18,76.868668,12.3719,0.5295,223.0121,8.4,164.5,87.368401,45.6745,1007.919006,28.6947,0
18,75.929909,11.4374,1.5678,222.860992,8.5,162.899994,87.482201,56.473801,1004.898682,28.6117,0
18,74.650383,13.0465,1.0486,223.109497,8.8,161.100006,90.265404,47.9025,1007.49353,28.496401,2
20,74.205177,12.6196,2.5823,223.625198,9,159.800003,88.3125,48.650501,1005.017395,28.4557,2
20,73.074425,13.6146,6.1919,223.438095,9.5,158.800003,90.9599,46.464199,1009.061523,28.350901,0
20,70.050629,9.5287,5.1854,223.447205,10.7,157.399994,92.612297,52.152599,1007.553894,28.0597,0
20,68.390114,14.7,4.1652,223.409195,11.7,155.300003,94.533798,43.207901,1009.788208,27.892599,0
20,66.378685,13.0691,5.7098,223.502304,12.5,153,95.557503,52.9701,1007.56543,27.682899,0
20,65.484947,14.7911,1.5545,222.924103,13.6,150.800003,91.805702,38.992199,1011.632202,27.586901,0
20,64.964203,16.338699,0.5295,222.700699,13.9,149.800003,88.248703,42.9874,1009.799622,27.5301,3
23,65.14579,17.627701,-0.4786,221.584396,14,148.300003,87.9776,43.559101,1012.77887,27.549999,3
23,65.132996,18.6611,-0.9883,222.324005,13.9,146.600006,86.909897,38.139099,1010.128113,27.548599,0
23,65.606117,15.3405,-1.5006,222.698593,13.7,144.699997,78.994202,39.089401,1012.045715,27.6,0
23,65.936569,9.2953,-0.4893,222.511703,13.4,142.699997,84.570801,36.131001,1011.275208,27.635599,0
23,66.107742,11.7885,2.0695,222.435303,13.3,140.899994,81.253197,36.569199,1013.382019,27.6539,-3
20,64.970711,11.2675,2.0771,222.051102,13.7,139.800003,77.579399,31.7488,1010.804871,27.530899,-3
20,63.618206,10.2098,3.1006,221.888107,14.1,138.699997,70.045601,28.816799,1012.786072,27.3806,0
20,62.289219,8.3605,2.6003,222.191696,14.7,137.699997,67.072197,38.341801,1012.904724,27.2286,0
20,60.661781,6.5151,1.0436,222.1987,15.2,136.199997,68.114304,33.907101,1013.217285,27.0362,0
